HCPCS Code,Short Descriptor,APC,Payment Rate
J7631,Cromolyn sodium noncomp unit,,
J7632,Cromolyn sodium comp unit,,
J7633,Budesonide non-comp con,,
J7634,Budesonide comp con,,
J7635,Atropine comp con,,
J7636,Atropine comp unit,,
J7637,Dexamethasone comp con,,
J7638,Dexamethasone comp unit,,
J7639,Dornase alfa non-comp unit,,
J7640,Formoterol comp unit,,
J7641,Flunisolide comp unit,,
J7642,Glycopyrrolate comp con,,
J7643,Glycopyrrolate comp unit,,
J7644,Ipratropium bromide non-comp,,
J7645,Ipratropium bromide comp,,
J7647,Isoetharine comp con,,
J7648,Isoetharine non-comp con,,
J7649,Isoetharine non-comp unit,,
J7650,Isoetharine comp unit,,
J7657,Isoproterenol comp con,,
J7658,Isoproterenol non-comp con,,
J7659,Isoproterenol non-comp unit,,
J7660,Isoproterenol comp unit,,
J7665,Mannitol for inhaler,,
J7667,Metaproterenol comp con,,
J7668,Metaproterenol non-comp con,,
J7669,Metaproterenol non-comp unit,,
J7670,Metaproterenol comp unit,,
J7674,"Methacholine chloride, neb",,
J7676,Pentamidine comp unit dose,,
J7677,Revefenacin inh non-com 1mcg,,
J7680,Terbutaline sulf comp con,,
J7681,Terbutaline sulf comp unit,,
J7682,Tobramycin non-comp unit,,
J7683,Triamcinolone comp con,,
J7684,Triamcinolone comp unit,,
J7685,Tobramycin comp unit,,
J7686,"Treprostinil, non-comp unit",,
J7699,Inhalation solution for dme,,
J7799,Non-inhalation drug for dme,,
J7999,"Compounded drug, noc",,
J8498,Antiemetic rectal/supp nos,,
J8499,Oral prescrip drug non chemo,,
J8501,Oral aprepitant,,
J8510,Oral busulfan,,
J8515,"Cabergoline, oral 0.25mg",,
J8520,"Capecitabine, oral, 150 mg",,
J8521,"Capecitabine, oral, 500 mg",,
J8530,Cyclophosphamide oral 25 mg,,
J8540,Oral dexamethasone,,
J8560,Etoposide oral 50 mg,802,$76.61 
J8562,Oral fludarabine phosphate,,
J8565,Gefitinib oral,,
J8597,Antiemetic drug oral nos,,
J8600,Melphalan oral 2 mg,,
J8610,Methotrexate oral 2.5 mg,,
J8650,Nabilone oral,,
J8655,"Oral netupitant, palonosetro",9448,$410.06 
J8670,"Rolapitant, oral, 1mg",1761,$1.59 
J8700,Temozolomide,,
J8705,Topotecan oral,1238,$113.49 
J8999,Oral prescription drug chemo,,
J9000,Doxorubicin hcl injection,,
J9015,Aldesleukin injection,807,"$3,943.00 "
J9017,Arsenic trioxide injection,9012,$15.78 
J9019,Erwinaze injection,9289,$427.27 
J9020,"Asparaginase, nos",,
J9021,"Inj, aspara, rylaze, 0.1 mg",9437,$50.96 
J9022,"Inj, atezolizumab,10 mg",9483,$85.01 
J9023,"Injection, avelumab, 10 mg",9491,$92.37 
J9025,Azacitidine injection,,
J9027,Clofarabine injection,1710,$21.39 
J9029,"Instill adstiladrin, tx dose",717,"$61,800.00 "
J9030,Bcg live intravesical 1mg,,
J9032,"Injection, belinostat, 10mg",1658,$48.88 
J9033,"Inj., treanda 1 mg",9243,$9.19 
J9034,"Inj., bendeka 1 mg",1861,$14.76 
J9035,Bevacizumab injection,9214,$74.07 
J9036,Inj. belrapzo/bendamustine,9313,$13.09 
J9037,Inj belantamab mafodot blmf,9384,$46.78 
J9039,"Injection, blinatumomab",9449,$145.57 
J9040,Bleomycin sulfate injection,,
J9041,"Injection, bortezomib, 0.1mg",9207,$1.96 
J9042,Brentuximab vedotin inj,9287,$230.61 
J9043,Cabazitaxel injection,9276,$210.45 
J9045,Carboplatin injection,,
J9046,"Inj, bortezomib, dr. reddy's",9026,$48.55 
J9047,"Injection, carfilzomib, 1 mg",9295,$47.09 
J9048,"Inj, bortezomib freseniuskab",9027,$48.55 
J9049,"Inj, bortezomib, hospira",9100,$1.52 
J9050,Carmustine injection,812,$271.47 
J9051,"Inj, bortezomib (maia)",,
J9052,"Inj, carmustine (accord)",718,$18.40 
J9055,Cetuximab injection,9215,$73.72 
J9056,"Inj, bendamustine, 1 mg",9154,$33.45 
J9057,"Inj., copanlisib, 1 mg",9030,$87.56 
J9058,Inj apotex/bendamustine 1 mg,9151,$20.78 
J9059,"Inj bendamustine, baxter 1mg",9153,$20.78 
J9060,Cisplatin 10 mg injection,,
J9061,"Inj, amivantamab-vmjw",9432,$19.98 
J9063,"Inj, elahere, 1 mg",9109,$65.71 
J9064,"Inj, cabazitaxel (sandoz)",,
J9065,Inj cladribine per 1 mg,858,$15.77 
J9070,Cyclophosphamide 100 mg inj,1408,$20.15 
J9071,Inj cyclophosphamd auromedic,9203,$1.79 
J9072,Inj cyclophos dr.reddy's 5mg,719,$3.76 
J9098,Cytarabine liposome inj,,
J9100,Cytarabine hcl 100 mg inj,,
J9118,Inj. calaspargase pegol-mknl,,
J9119,"Inj., cemiplimab-rwlc, 1 mg",9304,$27.46 
J9120,Dactinomycin injection,752,$668.90 
J9130,Dacarbazine 100 mg inj,,
J9144,"Daratumumab, hyaluronidase",9378,$49.05 
J9145,"Injection, daratumumab 10 mg",9476,$61.71 
J9150,Daunorubicin injection,820,$35.67 
J9151,Daunorubicin citrate inj,,
J9153,"Inj daunorubicin, cytarabine",9302,$231.76 
J9155,Degarelix injection,1296,$4.19 
J9165,Diethylstilbestrol injection,,
J9171,Docetaxel injection,,
J9172,"Docetaxel (ingenus), 1 mg",,
J9173,"Inj., durvalumab, 10 mg",9492,$80.71 
J9175,Elliotts b solution per ml,,
J9176,"Injection, elotuzumab, 1mg",9477,$7.38 
J9177,Inj enfort vedo-ejfv 0.25mg,9364,$35.03 
J9178,"Inj, epirubicin hcl, 2 mg",,
J9179,Eribulin mesylate injection,1426,$134.02 
J9181,Etoposide injection,,
J9185,Fludarabine phosphate inj,9080,$173.97 
J9190,Fluorouracil injection,,
J9196,Inj gemcitabine hcl (accord) ,9244,$8.78 
J9198,"Inj. infugem, 100 mg",9387,$40.28 
J9200,Floxuridine injection,827,"$3,722.04 "
J9201,In gemcitabine hcl nos 200mg,,
J9202,Goserelin acetate implant,810,$609.01 
J9203,Gemtuzumab ozogamicin 0.1 mg,9495,$226.28 
J9204,"Inj mogamulizumab-kpkc, 1 mg",9182,$234.17 
J9205,Inj irinotecan liposome 1 mg,9474,$62.02 
J9206,Irinotecan injection,,
J9207,Ixabepilone injection,9240,$128.07 
J9208,Ifosfamide injection,,
J9209,Mesna injection,,
J9210,"Inj., emapalumab-lzsg, 1 mg",9310,$375.66 
J9211,Idarubicin hcl injection,,
J9212,Interferon alfacon-1 inj,,
J9213,Interferon alfa-2a inj,,
J9214,Interferon alfa-2b inj,836,$32.57 
J9215,Interferon alfa-n3 inj,,
J9216,Interferon gamma 1-b inj,,
J9217,Leuprolide acetate suspnsion,9217,$181.30 
J9218,Leuprolide acetate injeciton,9047,$13.75 
J9219,Leuprolide acetate implant,,
J9223,"Inj. lurbinectedin, 0.1 mg",9389,$200.01 
J9225,Vantas implant,1711,"$5,166.29 "
J9226,Supprelin la implant,1142,"$44,575.94 "
J9227,Inj. isatuximab-irfc 10 mg,9377,$76.50 
J9228,Ipilimumab injection,9284,$172.42 
J9229,Inj inotuzumab ozogam 0.1 mg,9028,"$2,580.15 "
J9230,Mechlorethamine hcl inj,,
J9245,Inj melpha hydroch nos 50 mg,840,$148.02 
J9246,"Inj., evomela, 1 mg",9375,$16.49 
J9247,"Inj, melphalan flufenami 1mg",9417,$503.50 
J9250,Methotrexate sodium inj,,
J9255,"Inj, methotrexate (accord)",,
J9258,Paclitaxel (teva),,
J9259,Paclitaxel (american regent),9152,$15.45 
J9260,Methotrexate sodium inj,,
J9261,Nelarabine injection,825,$110.98 
J9262,"Inj, omacetaxine mep, 0.01mg",9297,$3.96 
J9263,Oxaliplatin,,
J9264,Paclitaxel protein bound,1712,$14.29 
J9266,Pegaspargase injection,843,"$25,781.46 "
J9267,Paclitaxel injection,,
J9268,Pentostatin injection,844,"$2,273.15 "
J9269,Inj. tagraxofusp-erzs 10 mcg,9309,$325.56 
J9270,Plicamycin (mithramycin) inj,,
J9271,Inj pembrolizumab,1490,$55.73 
J9272,"Inj, dostarlimab-gxly, 10 mg",9431,$233.26 
J9273,"Inj tisotu vedotin-tftv, 1mg",9204,$168.31 
J9274,"Inj, tebentafusp-tebn, 1 mcg",9446,$208.93 
J9280,Mitomycin injection,1232,$63.35 
J9281,Mitomycin instillation,9374,$300.75 
J9285,"Inj, olaratumab, 10 mg",,
J9286,"Inj glofitamab gxbm, 2.5 mg",720,"$2,707.93 "
J9293,Mitoxantrone hydrochl / 5 mg,864,$43.58 
J9294,"Inj pemetrexed, hospira 10mg",9123,$10.55 
J9295,"Injection, necitumumab, 1 mg",9475,$5.74 
J9296,Inj pemetrexed (accord) 10mg,9127,$9.66 
J9297,Inj pemetrexed (sandoz) 10mg,9128,$1.30 
J9298,Inj nivol relatlimab 3mg/1mg,9057,$187.15 
J9299,"Injection, nivolumab",9453,$31.09 
J9301,Obinutuzumab inj,1476,$70.34 
J9302,Ofatumumab injection,9260,$63.96 
J9303,Panitumumab injection,9235,$150.66 
J9304,"Inj. pemetrexed, 10 mg",9442,$62.32 
J9305,Inj. pemetrexed nos 10mg,9213,$4.37 
J9306,"Injection, pertuzumab, 1 mg",1471,$15.43 
J9307,Pralatrexate injection,9259,$289.14 
J9308,"Injection, ramucirumab",1488,$70.24 
J9309,"Inj, polatuzumab vedotin 1mg",9331,$124.29 
J9311,"Inj rituximab, hyaluronidase",9467,$37.41 
J9312,"Inj., rituximab, 10 mg",9186,$79.20 
J9313,"Inj., lumoxiti, 0.01 mg",9305,$23.39 
J9314,Inj pemetrexed (teva) 10mg,9105,$19.96 
J9316,"Pertuzu, trastuzu, 10 mg",9390,$67.05 
J9317,Sacituzumab govitecan-hziy,9376,$34.08 
J9318,Inj romidepsin non-lyo 0.1mg,9428,$33.91 
J9319,Inj romidepsin lyophil 0.1mg,9429,$31.96 
J9320,Streptozocin injection,850,$370.18 
J9321,Inj epcoritamab-bysp 0.16 mg,9250,$53.80 
J9322,Inj pemetrexed (bluepoint),,
J9323,Inj pemetrexed ditromethamin,9156,$6.01 
J9324,"Inj, pemrydi rtu, 10 mg",,
J9325,Inj talimogene laherparepvec,9472,$66.59 
J9328,Temozolomide injection,9253,$10.40 
J9330,Temsirolimus injection,1168,$30.99 
J9331,Inj sirolimus prot part 1 mg,9241,$109.29 
J9332,Inj efgartigimod 2mg,9010,$32.08 
J9333,Inj ronzanolixizum-noli 1 mg,721,$22.26 
J9334,Inj efgart-alfa 2mg hya-qvfc,723,$32.24 
J9340,Thiotepa injection,851,$251.21 
J9345,"Inj, retifanlimab-dlwr, 1 mg",9280,$29.83 
J9347,"Inj, tremelimumab-actl, 1 mg",9110,$136.09 
J9348,"Inj. naxitamab-gqgk, 1 mg",9408,$609.77 
J9349,"Inj., tafasitamab-cxix",9385,$13.60 
J9350,"Inj mosunetuzumab-axgb, 1 mg",9150,$629.64 
J9351,Topotecan injection,,
J9352,Injection trabectedin 0.1mg,9480,$338.40 
J9353,"Inj. margetuximab-cmkb, 5 mg",9418,$47.05 
J9354,"Inj, ado-trastuzumab emt 1mg",9131,$38.37 
J9355,Inj trastuzumab excl biosimi,1613,$80.47 
J9356,"Inj. herceptin hylecta, 10mg",9314,$66.02 
J9357,Valrubicin injection,1235,"$1,363.85 "
J9358 ,Inj fam-trastu deru-nxki 1mg,9353,$27.24 
J9359,Inj lon tesirin-lpyl 0.075mg,9205,$200.63 
J9360,Vinblastine sulfate inj,,
J9370,Vincristine sulfate 1 mg inj,,
J9371,"Inj, vincristine sul lip 1mg",1466,"$3,420.78 "
J9380,Inj teclistamab cqyv 0.5 mg,9111,$30.85 
J9381,Inj teplizumab mzwv 5 mcg,9112,$36.26 
J9390,Vinorelbine tartrate inj,,
J9393,"Inj, fulvestrant (teva)",9102,$21.20 
J9394,"Inj, fulvestrant (fresenius)",9103,$53.00 
J9395,"Injection, fulvestrant",9120,$8.45 
J9400,"Inj, ziv-aflibercept, 1mg",9296,$7.28 
J9600,Porfimer sodium injection,856,"$22,828.16 "
J9999,Chemotherapy drug,,
K0001,Standard wheelchair,,
K0002,Stnd hemi (low seat) whlchr,,
K0003,Lightweight wheelchair,,
K0004,High strength ltwt whlchr,,
K0005,Ultralightweight wheelchair,,
K0006,Heavy duty wheelchair,,
K0007,Extra heavy duty wheelchair,,
K0008,Cstm manual wheelchair/base,,
K0009,Other manual wheelchair/base,,
K0010,Stnd wt frame power whlchr,,
K0011,Stnd wt pwr whlchr w control,,
K0012,Ltwt portbl power whlchr,,
K0013,Custom power whlchr base,,
K0014,Other power whlchr base,,
K0015,Detach non-adj ht armrst rep,,
K0017,Detach adjust armrest base,,
K0018,Detach adjust armrst upper,,
K0019,"Arm pad repl, each",,
K0020,Fixed adjust armrest pair,,
K0037,Hi mount flip-up footrest ea,,
K0038,Leg strap each,,
K0039,Leg strap h style each,,
K0040,Adjustable angle footplate,,
K0041,Large size footplate each,,
K0042,Standard size ftplate rep ea,,
K0043,Ftrst lowr exten tube rep ea,,
K0044,Ftrst upr hanger brac rep ea,,
K0045,Ftrst compl assembly repl ea,,
K0046,Elev lgrst lwr exten repl ea,,
K0047,Elev legrst upr hangr rep ea,,
K0050,Ratchet assembly replacement,,
K0051,Cam rel asm ft/legrst rep ea,,
K0052,Swingaway detach ftrest repl,,
K0053,Elevate footrest articulate,,
K0056,Seat ht <17 or >=21 ltwt wc,,
K0065,Spoke protectors,,
K0069,Rr whl compl sol tire rep ea,,
K0070,Rr whl compl pne tire rep ea,,
K0071,Fr cstr comp pne tire rep ea,,
K0072,Fr cstr semi-pne tire rep ea,,
K0073,Caster pin lock each,,
K0077,Fr cstr asmb sol tire rep ea,,
K0098,"Drive belt for pwc, repl",,
K0105,Iv hanger,,
K0108,W/c component-accessory nos,,
K0195,Elevating whlchair leg rests,,
K0455,Pump uninterrupted infusion,,
K0462,Temporary replacement eqpmnt,,
K0552,Sup/ext non-ins inf pump syr,,
K0601,Repl batt silver oxide 1.5 v,,
K0602,Repl batt silver oxide 3 v,,
K0603,Repl batt alkaline 1.5 v,,
K0604,Repl batt lithium 3.6 v,,
K0605,Repl batt lithium 4.5 v,,
K0606,Aed garment w elec analysis,,
K0607,Repl batt for aed,,
K0608,Repl garment for aed,,
K0609,Repl electrode for aed,,
K0669,Seat/back cus no dmepdac ver,,
K0672,Removable soft interface le,,
K0730,Ctrl dose inh drug deliv sys,,
K0733,12-24hr sealed lead acid,,
K0738,Portable gas oxygen system,,
K0739,Repair/svc dme non-oxygen eq,,
K0740,Repair/svc oxygen equipment,,
K0743,Portable home suction pump,,
K0744,Absorp drg <= 16 suc pump,,
K0745,Absorp drg >16<=48 suc pump,,
K0746,Absorp drg >48 suc pump,,
K0800,Pov group 1 std up to 300lbs,,
K0801,Pov group 1 hd 301-450 lbs,,
K0802,Pov group 1 vhd 451-600 lbs,,
K0806,Pov group 2 std up to 300lbs,,
K0807,Pov group 2 hd 301-450 lbs,,
K0808,Pov group 2 vhd 451-600 lbs,,
K0812,Power operated vehicle noc,,
K0813,Pwc gp 1 std port seat/back,,
K0814,Pwc gp 1 std port cap chair,,
K0815,Pwc gp 1 std seat/back,,
K0816,Pwc gp 1 std cap chair,,
K0820,Pwc gp 2 std port seat/back,,
K0821,Pwc gp 2 std port cap chair,,
K0822,Pwc gp 2 std seat/back,,
K0823,Pwc gp 2 std cap chair,,
K0824,Pwc gp 2 hd seat/back,,
K0825,Pwc gp 2 hd cap chair,,
K0826,Pwc gp 2 vhd seat/back,,
K0827,Pwc gp vhd cap chair,,
K0828,Pwc gp 2 xtra hd seat/back,,
K0829,Pwc gp 2 xtra hd cap chair,,
K0830,Pwc gp2 std seat elevate s/b,,
K0831,Pwc gp2 std seat elevate cap,,
K0835,Pwc gp2 std sing pow opt s/b,,
K0836,Pwc gp2 std sing pow opt cap,,
K0837,Pwc gp 2 hd sing pow opt s/b,,
K0838,Pwc gp 2 hd sing pow opt cap,,
K0839,Pwc gp2 vhd sing pow opt s/b,,
K0840,Pwc gp2 xhd sing pow opt s/b,,
K0841,Pwc gp2 std mult pow opt s/b,,
K0842,Pwc gp2 std mult pow opt cap,,
K0843,Pwc gp2 hd mult pow opt s/b,,
K0848,Pwc gp 3 std seat/back,,
K0849,Pwc gp 3 std cap chair,,
K0850,Pwc gp 3 hd seat/back,,
K0851,Pwc gp 3 hd cap chair,,
K0852,Pwc gp 3 vhd seat/back,,
K0853,Pwc gp 3 vhd cap chair,,
K0854,Pwc gp 3 xhd seat/back,,
K0855,Pwc gp 3 xhd cap chair,,
K0856,Pwc gp3 std sing pow opt s/b,,
K0857,Pwc gp3 std sing pow opt cap,,
K0858,Pwc gp3 hd sing pow opt s/b,,
K0859,Pwc gp3 hd sing pow opt cap,,
K0860,Pwc gp3 vhd sing pow opt s/b,,
K0861,Pwc gp3 std mult pow opt s/b,,
K0862,Pwc gp3 hd mult pow opt s/b,,
K0863,Pwc gp3 vhd mult pow opt s/b,,
K0864,Pwc gp3 xhd mult pow opt s/b,,
K0868,Pwc gp 4 std seat/back,,
K0869,Pwc gp 4 std cap chair,,
K0870,Pwc gp 4 hd seat/back,,
K0871,Pwc gp 4 vhd seat/back,,
K0877,Pwc gp4 std sing pow opt s/b,,
K0878,Pwc gp4 std sing pow opt cap,,
K0879,Pwc gp4 hd sing pow opt s/b,,
K0880,Pwc gp4 vhd sing pow opt s/b,,
K0884,Pwc gp4 std mult pow opt s/b,,
K0885,Pwc gp4 std mult pow opt cap,,
K0886,Pwc gp4 hd mult pow s/b,,
K0890,Pwc gp5 ped sing pow opt s/b,,
K0891,Pwc gp5 ped mult pow opt s/b,,
K0898,Power wheelchair noc,,
K0899,Pow mobil dev no dmepdac,,
K0900,Cstm dme other than wheelchr,,
K1004,Lo freq us diathermy device,,
K1007,Bil hkaf pc s/d micro sensor,,
K1027,Oral dev without fix mech,,
K1030,Ext recharge bat replacement,,
K1034,Covid test self-admn/collect,,
K1035,Mol diag reader self-admn,,
K1036,Supplies for ultra diatherm,,
L0112,Cranial cervical orthosis,,
L0113,Cranial cervical torticollis,,
L0120,Cerv flex n/adj foam pre ots,,
L0130,Flex thermoplastic collar mo,,
L0140,Cervical semi-rigid adjustab,,
L0150,Cerv semi-rig adj molded chn,,
L0160,Cerv sr wire occ/man pre ots,,
L0170,Cervical collar molded to pt,,
L0172,Cerv col sr foam 2pc pre ots,,
L0174,Cerv sr 2pc thor ext pre ots,,
L0180,Cer post col occ/man sup adj,,
L0190,Cerv collar supp adj cerv ba,,
L0200,Cerv col supp adj bar & thor,,
L0220,Thor rib belt custom fabrica,,
L0450,Tlso flex trunk/thor pre ots,,
L0452,Tlso flex custom fab thoraci,,
L0454,Tlso trnk sj-t9 pre cst,,
L0455,Tlso flex trnk sj-t9 pre ots,,
L0456,Tlso flex trnk sj-ss pre cst,,
L0457,Tlso flex trnk sj-ss pre ots,,
L0458,Tlso 2mod symphis-xipho pre,,
L0460,Tlso 2 shl symphys-stern cst,,
L0462,Tlso 3mod sacro-scap pre,,
L0464,Tlso 4mod sacro-scap pre,,
L0466,Tlso r fram soft ant pre cst,,
L0467,Tlso r fram soft pre ots,,
L0468,Tlso rig fram pelvic pre cst,,
L0469,Tlso rig fram pelvic pre ots,,
L0470,Tlso rigid frame pre subclav,,
L0472,Tlso rigid frame hyperex pre,,
L0480,Tlso rigid plastic custom fa,,
L0482,Tlso rigid lined custom fab,,
L0484,Tlso rigid plastic cust fab,,
L0486,Tlso rigidlined cust fab two,,
L0488,Tlso rigid lined pre one pie,,
L0490,Tlso rigid plastic pre one,,
L0491,Tlso 2 piece rigid shell,,
L0492,Tlso 3 piece rigid shell,,
L0621,Sio flex pelvic/sacr pre ots,,
L0622,Sio flex pelvisacral custom,,
L0623,Sio rig pnl pelv/sac pre ots,,
L0624,Sio panel custom,,
L0625,Lo flex l1-below l5 pre ots,,
L0626,Lo sag rig pnl stays pre cst,,
L0627,Lo sag ri an/pos pnl pre cst,,
L0628,Lso flex no ri stays pre ots,,
L0629,Lso flex w/rigid stays cust,,
L0630,Lso r post pnl sj-t9 pre cst,,
L0631,Lso sag r an/pos pnl pre cst,,
L0632,Lso sag rigid frame cust,,
L0633,Lso sc r pos/lat pnl pre cst,,
L0634,Lso flexion control custom,,
L0635,Lso sagit rigid panel prefab,,
L0636,Lso sagittal rigid panel cus,,
L0637,Lso sc r ant/pos pnl pre cst,,
L0638,Lso sag-coronal panel custom,,
L0639,Lso s/c shell/panel prefab,,
L0640,Lso s/c shell/panel custom,,
L0641,Lo rig pos pnl l1-l5 pre ots,,
L0642,Lo sag ri an/pos pnl pre ots,,
L0643,Lso sag ctr rigi pos pre ots,,
L0648,Lso sag r an/pos pnl pre ots,,
L0649,Lso sc r pos/lat pnl pre ots,,
L0650,Lso sc r ant/pos pnl pre ots,,
L0651,Lso sag-co shell pnl pre ots,,
L0700,Ctlso a-p-l control molded,,
L0710,Ctlso a-p-l control w/ inter,,
L0810,Halo cervical into jckt vest,,
L0820,Halo cervical into body jack,,
L0830,Halo cerv into milwaukee typ,,
L0859,Mri compatible system,,
L0861,Halo repl liner/interface,,
L0970,Tlso corset front,,
L0972,Lso corset front,,
L0974,Tlso full corset,,
L0976,Lso full corset,,
L0978,Axillary crutch extension,,
L0980,Peroneal straps pair pre ots,,
L0982,Stocking sup grips 4 pre ots,,
L0984,Protect body sock ea pre ots,,
L0999,Add to spinal orthosis nos,,
L1000,Ctlso milwauke initial model,,
L1001,Ctlso infant immobilizer,,
L1005,Tension based scoliosis orth,,
L1010,Ctlso axilla sling,,
L1020,Kyphosis pad,,
L1025,Kyphosis pad floating,,
L1030,Lumbar bolster pad,,
L1040,Lumbar or lumbar rib pad,,
L1050,Sternal pad,,
L1060,Thoracic pad,,
L1070,Trapezius sling,,
L1080,Outrigger,,
L1085,Outrigger bil w/ vert extens,,
L1090,Lumbar sling,,
L1100,Ring flange plastic/leather,,
L1110,Ring flange plas/leather mol,,
L1120,Covers for upright each,,
L1200,Furnsh initial orthosis only,,
L1210,Lateral thoracic extension,,
L1220,Anterior thoracic extension,,
L1230,Milwaukee type superstructur,,
L1240,Lumbar derotation pad,,
L1250,Anterior asis pad,,
L1260,Anterior thoracic derotation,,
L1270,Abdominal pad,,
L1280,Rib gusset (elastic) each,,
L1290,Lateral trochanteric pad,,
L1300,Body jacket mold to patient,,
L1310,Post-operative body jacket,,
L1499,Spinal orthosis nos,,
L1600,Ho flex frejka w/cov pre cst,,
L1610,Ho frejka cov only pre cst,,
L1620,Ho flex pavlik harns pre cst,,
L1630,Abduct control hip semi-flex,,
L1640,Pelv band/spread bar thigh c,,
L1650,Ho abduction hip adjustable,,
L1652,Ho bi thighcuffs w sprdr bar,,
L1660,Ho abduction static plastic,,
L1680,Pelvic & hip control thigh c,,
L1681,Ho bilateral hip abduction,,
L1685,Post-op hip abduct custom fa,,
L1686,Ho post-op hip abduction,,
L1690,Combination bilateral ho,,
L1700,Leg perthes orth toronto typ,,
L1710,Legg perthes orth newington,,
L1720,Legg perthes orthosis trilat,,
L1730,Legg perthes orth scottish r,,
L1755,Legg perthes patten bottom t,,
L1810,Ko elastic with joints,,
L1812,Ko elastic w/joints pre ots,,
L1820,Ko elas w/ condyle pads & jo,,
L1830,Ko immob canvas long pre ots,,
L1831,Knee orth pos locking joint,,
L1832,Ko adj jnt pos r sup pre cst,,
L1833,Ko adj jnt pos r sup pre ots,,
L1834,Ko w/0 joint rigid molded to,,
L1836,Ko rigid w/o joints pre ots,,
L1840,Ko derot ant cruciate custom,,
L1843,Ko single upright pre cst,,
L1844,Ko w/adj jt rot cntrl molded,,
L1845,Ko double upright pre cst,,
L1846,Ko w adj flex/ext rotat mold,,
L1847,Ko dbl upright w/air pre cst,,
L1848,Ko dbl upright w/air pre ots,,
L1850,Ko swedish type pre ots,,
L1851,Ko single upright prefab ots,,
L1852,Ko double upright prefab ots,,
L1860,Ko supracondylar socket mold,,
L1900,Afo sprng wir drsflx calf bd,,
L1902,Afo ankle gauntlet pre ots,,
L1904,Afo molded ankle gauntlet,,
L1906,Afo multilig ank sup pre ots,,
L1907,Afo supramalleolar custom,,
L1910,Afo sing bar clasp attach sh,,
L1920,Afo sing upright w/ adjust s,,
L1930,Afo plastic,,
L1932,Afo rig ant tib prefab tcf/=,,
L1940,Afo molded to patient plasti,,
L1945,Afo molded plas rig ant tib,,
L1950,Afo spiral molded to pt plas,,
L1951,Afo spiral prefabricated,,
L1960,Afo pos solid ank plastic mo,,
L1970,Afo plastic molded w/ankle j,,
L1971,"Afo w/ankle joint, prefab",,
L1980,Afo sing solid stirrup calf,,
L1990,Afo doub solid stirrup calf,,
L2000,Kafo sing fre stirr thi/calf,,
L2005,Kafo sng/dbl mechanical act,,
L2006,Kaf sng/dbl swg/stn mcpr cus,,
L2010,Kafo sng solid stirrup w/o j,,
L2020,Kafo dbl solid stirrup band/,,
L2030,Kafo dbl solid stirrup w/o j,,
L2034,Kafo pla sin up w/wo k/a cus,,
L2035,Kafo plastic pediatric size,,
L2036,Kafo plas doub free knee mol,,
L2037,Kafo plas sing free knee mol,,
L2038,Kafo w/o joint multi-axis an,,
L2040,Hkafo torsion bil rot straps,,
L2050,Hkafo torsion cable hip pelv,,
L2060,Hkafo torsion ball bearing j,,
L2070,Hkafo torsion unilat rot str,,
L2080,Hkafo unilat torsion cable,,
L2090,Hkafo unilat torsion ball br,,
L2106,Afo tib fx cast plaster mold,,
L2108,Afo tib fx cast molded to pt,,
L2112,Afo tibial fracture soft,,
L2114,Afo tib fx semi-rigid,,
L2116,Afo tibial fracture rigid,,
L2126,Kafo fem fx cast thermoplas,,
L2128,Kafo fem fx cast molded to p,,
L2132,Kafo femoral fx cast soft,,
L2134,Kafo fem fx cast semi-rigid,,
L2136,Kafo femoral fx cast rigid,,
L2180,Plas shoe insert w ank joint,,
L2182,Drop lock knee,,
L2184,Limited motion knee joint,,
L2186,Adj motion knee jnt lerman t,,
L2188,Quadrilateral brim,,
L2190,Waist belt,,
L2192,Pelvic band & belt thigh fla,,
L2200,Limited ankle motion ea jnt,,
L2210,Dorsiflexion assist each joi,,
L2220,Dorsi & plantar flex ass/res,,
L2230,Split flat caliper stirr & p,,
L2232,"Rocker bottom, contact afo",,
L2240,Round caliper and plate atta,,
L2250,Foot plate molded stirrup at,,
L2260,Reinforced solid stirrup,,
L2265,Long tongue stirrup,,
L2270,Varus/valgus strap padded/li,,
L2275,Plastic mod low ext pad/line,,
L2280,Molded inner boot,,
L2300,Abduction bar jointed adjust,,
L2310,Abduction bar-straight,,
L2320,Non-molded lacer,,
L2330,Lacer molded to patient mode,,
L2335,Anterior swing band,,
L2340,Pre-tibial shell molded to p,,
L2350,Prosthetic type socket molde,,
L2360,Extended steel shank,,
L2370,Patten bottom,,
L2375,Torsion ank & half solid sti,,
L2380,Torsion straight knee joint,,
L2385,Straight knee joint heavy du,,
L2387,Add le poly knee custom kafo,,
L2390,Offset knee joint each,,
L2395,Offset knee joint heavy duty,,
L2397,Suspension sleeve lower ext,,
L2405,Knee joint drop lock ea jnt,,
L2415,Knee joint cam lock each joi,,
L2425,Knee disc/dial lock/adj flex,,
L2430,Knee jnt ratchet lock ea jnt,,
L2492,Knee lift loop drop lock rin,,
L2500,Thi/glut/ischia wgt bearing,,
L2510,Th/wght bear quad-lat brim m,,
L2520,Th/wght bear quad-lat brim c,,
L2525,Th/wght bear nar m-l brim mo,,
L2526,Th/wght bear nar m-l brim cu,,
L2530,Thigh/wght bear lacer non-mo,,
L2540,Thigh/wght bear lacer molded,,
L2550,Thigh/wght bear high roll cu,,
L2570,Hip clevis type 2 posit jnt,,
L2580,Pelvic control pelvic sling,,
L2600,Hip clevis/thrust bearing fr,,
